DATE;TICKER
01/04/2015;RI FP
01/04/2015;RIO LN
01/04/2015;RMG LN
01/04/2015;RMS FP
01/04/2015;RMV LN
01/04/2015;RNO FP
01/04/2015;ROG SW
01/04/2015;ROR LN
01/04/2015;RR/ LN
01/04/2015;RRS LN
01/04/2015;RRTL GY
01/04/2015;RSA LN
01/04/2015;RTN LN
01/04/2015;RTO LN
01/04/2015;RUI FP
01/04/2015;RWE GY
01/04/2015;RXL FP
01/04/2015;RYA ID
01/04/2015;SAB LN
01/04/2015;SAB SQ
01/04/2015;SAF FP
01/04/2015;SAMPO FH
01/04/2015;SAN FP
01/04/2015;SAN SQ
01/04/2015;SAND SS
01/04/2015;SAP GY
01/04/2015;SAZ GY
01/04/2015;SBMO NA
01/04/2015;SBRY LN
01/04/2015;SCAB SS
01/04/2015;SCHA NO
01/04/2015;SCHP SW
01/04/2015;SCMN SW
01/04/2015;SCR FP
01/04/2015;SDF GY
01/04/2015;SDR LN
01/04/2015;SEBA SS
01/04/2015;SECUB SS
01/04/2015;SESG FP
01/04/2015;SEV FP
01/04/2015;SFR FP
01/04/2015;SGC LN
01/04/2015;SGE LN
01/04/2015;SGO FP
01/04/2015;SGRE SQ
01/04/2015;SGRO LN
01/04/2015;SGSN SW
01/04/2015;SHB LN
01/04/2015;SHBA SS
01/04/2015;SHP LN
01/04/2015;SIE GY
01/04/2015;SIG LN
01/04/2015;SIKA SW
01/04/2015;SK FP
01/04/2015;SKAB SS
01/04/2015;SKFB SS
01/04/2015;SKG ID
01/04/2015;SKY LN
01/04/2015;SLA LN
01/04/2015;SLHN SW
01/04/2015;SMDS LN
01/04/2015;SMIN LN
01/04/2015;SMWH LN
01/04/2015;SN/ LN
01/04/2015;SOLB BB
01/04/2015;SOON SW
01/04/2015;SPM IM
01/04/2015;SPR GY
01/04/2015;SPSN SE
01/04/2015;SPX LN
01/04/2015;SREN SW
01/04/2015;SRG IM
01/04/2015;SRP LN
01/04/2015;SSE LN
01/04/2015;STAN LN
01/04/2015;STB NO
01/04/2015;STERV FH
01/04/2015;STJ LN
01/04/2015;STM IM
01/04/2015;SU FP
01/04/2015;SUBC NO
01/04/2015;SUN SE
01/04/2015;SVT LN
01/04/2015;SW FP
01/04/2015;SWEDA SS
01/04/2015;SWMA SS
01/04/2015;SXS LN
01/04/2015;SY1 GY
01/04/2015;SYDB DC
01/04/2015;SYNN SW
01/04/2015;TALK LN
01/04/2015;TATE LN
01/04/2015;TCG LN
01/04/2015;TCY LN
01/04/2015;TDC DC
01/04/2015;TEC FP
01/04/2015;TEF SQ
01/04/2015;TEL NO
01/04/2015;TEL2B SS
01/04/2015;TELIA SS
01/04/2015;TEN IM
01/04/2015;TEP FP
01/04/2015;TFI FP
01/04/2015;TGS NO
01/04/2015;TIT IM
01/04/2015;TKA GY
01/04/2015;TL5 SQ
01/04/2015;TLW LN
01/04/2015;TNET BB
01/04/2015;TNTE NA
01/04/2015;TOP DC
01/04/2015;TPK LN
01/04/2015;TRELB SS
01/04/2015;TRN IM
01/04/2015;TRYG DC
01/04/2015;TSCO LN
01/04/2015;TUI LN
01/04/2015;TW/ LN
01/04/2015;TYRES FH
01/04/2015;UBI IM
01/04/2015;UBM LN
01/04/2015;UBSG SW
01/04/2015;UCB BB
01/04/2015;UCG IM
01/04/2015;UG FP
01/04/2015;UHR SW
01/04/2015;UL NA
01/04/2015;ULE LN
01/04/2015;ULVR LN
01/04/2015;UMI BB
01/04/2015;UNAT NA
01/04/2015;UPM FH
01/04/2015;US IM
01/04/2015;UTDI GY
01/04/2015;UU/ LN
01/04/2015;VCT LN
01/04/2015;VIE FP
01/04/2015;VIFN SW
01/04/2015;VIG AV
01/04/2015;VIS SQ
01/04/2015;VIV FP
01/04/2015;VK FP
01/04/2015;VNA GY
01/04/2015;VOD LN
01/04/2015;VOE AV
01/04/2015;VOLVB SS
01/04/2015;VOW3 GY
01/04/2015;VPK NA
01/04/2015;VWS DC
01/04/2015;WDI GY
01/04/2015;WEIR LN
01/04/2015;WG/ LN
01/04/2015;WHA NA
01/04/2015;WKL NA
01/04/2015;WMH LN
01/04/2015;WPP LN
01/04/2015;WRT1V FH
01/04/2015;WTB LN
01/04/2015;YAR NO
01/04/2015;ZC FP
01/04/2015;ZOT SQ
01/04/2015;ZURN SW
01/07/2015;1643322D NO
01/07/2015;1655637D LN
01/07/2015;AA/ LN
01/07/2015;AAL LN
01/07/2015;AALB NA
01/07/2015;ABBN SW
01/07/2015;ABE SQ
01/07/2015;ABF LN
01/07/2015;ABG/P SQ
01/07/2015;ABI BB
01/07/2015;AC FP
01/07/2015;ACA FP
01/07/2015;ACKB BB
01/07/2015;ACS SQ
01/07/2015;AD NA
01/07/2015;ADEN SW
01/07/2015;ADM LN
01/07/2015;ADN LN
01/07/2015;ADP FP
01/07/2015;ADS GY
01/07/2015;AENA SQ
01/07/2015;AF FP
01/07/2015;AGK LN
01/07/2015;AGN NA
01/07/2015;AGS BB
01/07/2015;AHT LN
01/07/2015;AI FP
01/07/2015;AIR FP
01/07/2015;AKE FP
01/07/2015;AKZA NA
01/07/2015;ALFA SS
01/07/2015;ALO FP
01/07/2015;ALU FP
01/07/2015;ALV GY
01/07/2015;AMEAS FH
01/07/2015;AMFW LN
01/07/2015;AMS SE
01/07/2015;AMS SQ
01/07/2015;ANDR AV
01/07/2015;ANTO LN
01/07/2015;ARL GY
01/07/2015;ARM LN
01/07/2015;ARYN SW
01/07/2015;ASHM LN
01/07/2015;ASM NA
01/07/2015;ASML NA
01/07/2015;ASSAB SS
01/07/2015;ATCOA SS
01/07/2015;ATCT NA
01/07/2015;ATK LN
01/07/2015;ATL IM
01/07/2015;ATLN SW
01/07/2015;ATO FP
01/07/2015;AV/ LN
01/07/2015;AZM IM
01/07/2015;AZN LN
01/07/2015;BA/ LN
01/07/2015;BAB LN
01/07/2015;BAER SW
01/07/2015;BALN SW
01/07/2015;BARC LN
01/07/2015;BARN SE
01/07/2015;BAS GY
01/07/2015;BATS LN
01/07/2015;BAYN GY
01/07/2015;BB FP
01/07/2015;BBVA SQ
01/07/2015;BBY LN
01/07/2015;BCP PL
01/07/2015;BDEV LN
01/07/2015;BEI GY
01/07/2015;BET LN
01/07/2015;BEZ LN
01/07/2015;BG/ LN
01/07/2015;BHP LN
01/07/2015;BILL SS
01/07/2015;BION SE
01/07/2015;BIRG ID
01/07/2015;BKG LN
01/07/2015;BKIA SQ
01/07/2015;BKT SQ
01/07/2015;BLND LN
01/07/2015;BME LN
01/07/2015;BME SQ
01/07/2015;BMPS IM
01/07/2015;BMW GY
01/07/2015;BN FP
01/07/2015;BNP FP
01/07/2015;BNR GY
01/07/2015;BNZL LN
01/07/2015;BOK LN
01/07/2015;BOKA NA
01/07/2015;BOL FP
01/07/2015;BOL SS
01/07/2015;BOSS GY
01/07/2015;BP IM
01/07/2015;BP/ LN
01/07/2015;BPE IM
01/07/2015;BPOST BB
01/07/2015;BPSO IM
01/07/2015;BRBY LN
01/07/2015;BRSN LN
01/07/2015;BT/A LN
01/07/2015;BTG LN
01/07/2015;BVI FP
01/07/2015;BVIC LN
01/07/2015;BWY LN
01/07/2015;CA FP
01/07/2015;CABK SQ
01/07/2015;CAP FP
01/07/2015;CAPC LN
01/07/2015;CARLB DC
01/07/2015;CAST SS
01/07/2015;CBG LN
01/07/2015;CBK GY
01/07/2015;CCH LN
01/07/2015;CCL LN
01/07/2015;CDI FP
01/07/2015;CEC GY
01/07/2015;CEZ CK
01/07/2015;CFR SW
01/07/2015;CHR DC
01/07/2015;CLLN LN
01/07/2015;CLN SW
01/07/2015;CNA LN
01/07/2015;CNHI IM
01/07/2015;CNP FP
01/07/2015;CO FP
01/07/2015;COB LN
01/07/2015;COFB BB
01/07/2015;COLOB DC
01/07/2015;COLR BB
01/07/2015;CON GY
01/07/2015;COV FP
01/07/2015;CPG LN
01/07/2015;CPI LN
01/07/2015;CPR IM
01/07/2015;CRDA LN
01/07/2015;CRH ID
01/07/2015;CS FP
01/07/2015;CSGN SW
01/07/2015;CSR LN
01/07/2015;CWC LN
01/07/2015;DAI GY
01/07/2015;DANSKE DC
01/07/2015;DB1 GY
01/07/2015;DBK GY
01/07/2015;DC/ LN
01/07/2015;DCC LN
01/07/2015;DEC FP
01/07/2015;DELB BB
01/07/2015;DEMANT DC
01/07/2015;DEQ GY
01/07/2015;DG FP
01/07/2015;DGE LN
01/07/2015;DIA SQ
01/07/2015;DKSH SE
01/07/2015;DL NA
01/07/2015;DLG GY
01/07/2015;DLG LN
01/07/2015;DLN LN
01/07/2015;DMGT LN
01/07/2015;DNB NO
01/07/2015;DOKA SE
01/07/2015;DPW GY
01/07/2015;DRX LN
01/07/2015;DSM NA
01/07/2015;DSV DC
01/07/2015;DSY FP
01/07/2015;DTE GY
01/07/2015;DUE GY
01/07/2015;DUFN SW
01/07/2015;DWNI GY
01/07/2015;EBS AV
01/07/2015;EDEN FP
01/07/2015;EDF FP
01/07/2015;EDP PL
01/07/2015;EGPW IM
01/07/2015;EKTAB SS
01/07/2015;EL FP
01/07/2015;ELE SQ
01/07/2015;ELISA FH
01/07/2015;ELM LN
01/07/2015;ELUXB SS
01/07/2015;EMG LN
01/07/2015;EMSN SE
01/07/2015;EN FP
01/07/2015;ENEL IM
01/07/2015;ENG SQ
01/07/2015;ENGI FP
01/07/2015;ENI IM
01/07/2015;EO FP
01/07/2015;EOAN GY
01/07/2015;EQNR NO
01/07/2015;ERF FP
01/07/2015;ERICB SS
01/07/2015;ESNT LN
01/07/2015;ETE GA
01/07/2015;ETL FP
01/07/2015;EVK GY
01/07/2015;EXO IM
01/07/2015;EXPN LN
01/07/2015;EZJ LN
01/07/2015;FCA IM
01/07/2015;FER SQ
01/07/2015;FERG LN
01/07/2015;FGP LN
01/07/2015;FGR FP
01/07/2015;FHZN SE
01/07/2015;FI-N SE
01/07/2015;FLS DC
01/07/2015;FLTR ID
01/07/2015;FME GY
01/07/2015;FNTN GY
01/07/2015;FORTUM FH
01/07/2015;FP FP
01/07/2015;FPE3 GY
01/07/2015;FR FP
01/07/2015;FRA GY
01/07/2015;FRAS LN
01/07/2015;FRE GY
01/07/2015;FRES LN
01/07/2015;G IM
01/07/2015;G1A GY
01/07/2015;GALP PL
01/07/2015;GAM SE
01/07/2015;GBF GY
01/07/2015;GBLB BB
01/07/2015;GEBN SW
01/07/2015;GET FP
01/07/2015;GETIB SS
01/07/2015;GFC FP
01/07/2015;GFS LN
01/07/2015;GFTU LN
01/07/2015;GIVN SW
01/07/2015;GJF NO
01/07/2015;GKN LN
01/07/2015;GLB ID
01/07/2015;GLE FP
01/07/2015;GLEN LN
01/07/2015;GMAB DC
01/07/2015;GN DC
01/07/2015;GNK LN
01/07/2015;GPOR LN
01/07/2015;GRF SQ
01/07/2015;GSK LN
01/07/2015;GTO NA
01/07/2015;GXI GY
01/07/2015;HAS LN
01/07/2015;HEI GY
01/07/2015;HEIA NA
01/07/2015;HEIO NA
01/07/2015;HELN SE
01/07/2015;HEN3 GY
01/07/2015;HEXAB SS
01/07/2015;HGG LN
01/07/2015;HIK LN
01/07/2015;HL/ LN
01/07/2015;HLMA LN
01/07/2015;HMB SS
01/07/2015;HMSO LN
01/07/2015;HNR1 GY
01/07/2015;HO FP
01/07/2015;HOME LN
01/07/2015;HPOLB SS
01/07/2015;HSBA LN
01/07/2015;HSX LN
01/07/2015;HTO GA
01/07/2015;HUH1V FH
01/07/2015;HUSQB SS
01/07/2015;HWDN LN
01/07/2015;IAG LN
01/07/2015;IAP LN
01/07/2015;IBE SQ
01/07/2015;ICA SS
01/07/2015;ICAD FP
01/07/2015;ICP LN
01/07/2015;IFX GY
01/07/2015;IGG LN
01/07/2015;IHG LN
01/07/2015;IIA AV
01/07/2015;III LN
01/07/2015;ILD FP
01/07/2015;IMB LN
01/07/2015;IMI LN
01/07/2015;INCH LN
01/07/2015;INDUA SS
01/07/2015;INF LN
01/07/2015;ING FP
01/07/2015;INGA NA
01/07/2015;INTRUM SS
01/07/2015;INTU LN
01/07/2015;INVEB SS
01/07/2015;INVP LN
01/07/2015;IPF LN
01/07/2015;ISAT LN
01/07/2015;ISP IM
01/07/2015;ISS DC
01/07/2015;ITRK LN
01/07/2015;ITV LN
01/07/2015;ITX SQ
01/07/2015;JE/ LN
01/07/2015;JM SS
01/07/2015;JMAT LN
01/07/2015;JMT PL
01/07/2015;JUP LN
01/07/2015;JYSK DC
01/07/2015;KBC BB
01/07/2015;KD8 GY
01/07/2015;KER FP
01/07/2015;KESKOB FH
01/07/2015;KGF LN
01/07/2015;KGX GY
01/07/2015;KINVB SS
01/07/2015;KN FP
01/07/2015;KNEBV FH
01/07/2015;KNIN SW
01/07/2015;KOMB CK
01/07/2015;KPN NA
01/07/2015;KSP ID
01/07/2015;KYG ID
01/07/2015;LAND LN
01/07/2015;LDO IM
01/07/2015;LEG GY
01/07/2015;LEO GY
01/07/2015;LG FP
01/07/2015;LGEN LN
01/07/2015;LHA GY
01/07/2015;LHN SW
01/07/2015;LI FP
01/07/2015;LLOY LN
01/07/2015;LNA GY
01/07/2015;LOGN SW
01/07/2015;LONN SW
01/07/2015;LR FP
01/07/2015;LRE LN
01/07/2015;LSE LN
01/07/2015;LUPE SS
01/07/2015;LUX IM
01/07/2015;LXS GY
01/07/2015;MAERSKB DC
01/07/2015;MAN GY
01/07/2015;MAP SQ
01/07/2015;MB IM
01/07/2015;MC FP
01/07/2015;MCRO LN
01/07/2015;MEDAA SS
01/07/2015;MERL LN
01/07/2015;METSO FH
01/07/2015;MF FP
01/07/2015;MGGT LN
01/07/2015;MKS LN
01/07/2015;ML FP
01/07/2015;MMB FP
01/07/2015;MNDI LN
01/07/2015;MOR GY
01/07/2015;MOWI NO
01/07/2015;MRK GY
01/07/2015;MRL SQ
01/07/2015;MRO LN
01/07/2015;MRW LN
01/07/2015;MS IM
01/07/2015;MT NA
01/07/2015;MTGB SS
01/07/2015;MTX GY
01/07/2015;MUV2 GY
01/07/2015;NCCB SS
01/07/2015;NDA SS
01/07/2015;NESN SW
01/07/2015;NESTE FH
01/07/2015;NG/ LN
01/07/2015;NHY NO
01/07/2015;NK FP
01/07/2015;NN NA
01/07/2015;NOKIA FH
01/07/2015;NOVN SW
01/07/2015;NOVOB DC
01/07/2015;NTGY SQ
01/07/2015;NXT LN
01/07/2015;NZYMB DC
01/07/2015;O2D GY
01/07/2015;OCDO LN
01/07/2015;OCI NA
01/07/2015;OERL SE
01/07/2015;OML LN
01/07/2015;OMV AV
01/07/2015;OPAP GA
01/07/2015;OR FP
01/07/2015;ORA FP
01/07/2015;ORK NO
01/07/2015;ORNBV FH
01/07/2015;ORP FP
01/07/2015;OSR GY
01/07/2015;OUT1V FH
01/07/2015;PAGE LN
01/07/2015;PAH3 GY
01/07/2015;PARG SE
01/07/2015;PC IM
01/07/2015;PFC LN
01/07/2015;PFG LN
01/07/2015;PGHN SW
01/07/2015;PGIL LN
01/07/2015;PHIA NA
01/07/2015;PHNX LN
01/07/2015;PMI IM
01/07/2015;PNDORA DC
01/07/2015;PNL NA
01/07/2015;PNN LN
01/07/2015;POP SQ
01/07/2015;PROX BB
01/07/2015;PRU LN
01/07/2015;PRY IM
01/07/2015;PSM GY
01/07/2015;PSN LN
01/07/2015;PSON LN
01/07/2015;PSPN SE
01/07/2015;PTEC LN
01/07/2015;PUB FP
01/07/2015;QDT FP
01/07/2015;QIA GY
01/07/2015;QQ/ LN
01/07/2015;RAND NA
01/07/2015;RB/ LN
01/07/2015;RBI AV
01/07/2015;RBS LN
01/07/2015;RCO FP
01/07/2015;RDSA NA
01/07/2015;REE SQ
01/07/2015;REL LN
01/07/2015;RENT NA
01/07/2015;REP SQ
01/07/2015;REX LN
01/07/2015;RF FP
01/07/2015;RGU LN
01/07/2015;RHM GY
01/07/2015;RI FP
01/07/2015;RIO LN
01/07/2015;RMG LN
01/07/2015;RMS FP
01/07/2015;RMV LN
01/07/2015;RNO FP
01/07/2015;ROG SW
01/07/2015;ROR LN
01/07/2015;RPC LN
01/07/2015;RR/ LN
01/07/2015;RRS LN
01/07/2015;RRTL GY
01/07/2015;RSA LN
01/07/2015;RTN LN
01/07/2015;RTO LN
01/07/2015;RUI FP
01/07/2015;RWE GY
01/07/2015;RXL FP
01/07/2015;RYA ID
01/07/2015;SAB LN
01/07/2015;SAB SQ
01/07/2015;SAF FP
01/07/2015;SAMPO FH
01/07/2015;SAN FP
01/07/2015;SAN SQ
01/07/2015;SAND SS
01/07/2015;SAP GY
01/07/2015;SAZ GY
01/07/2015;SBMO NA
01/07/2015;SBRY LN
01/07/2015;SCAB SS
01/07/2015;SCHA NO
01/07/2015;SCHP SW
01/07/2015;SCMN SW
01/07/2015;SCR FP
01/07/2015;SDF GY
01/07/2015;SDR LN
01/07/2015;SEBA SS
01/07/2015;SECUB SS
01/07/2015;SESG FP
01/07/2015;SEV FP
01/07/2015;SFR FP
01/07/2015;SGC LN
01/07/2015;SGE LN
01/07/2015;SGO FP
01/07/2015;SGRE SQ
01/07/2015;SGRO LN
01/07/2015;SGSN SW
01/07/2015;SHB LN
01/07/2015;SHBA SS
01/07/2015;SHP LN
01/07/2015;SIE GY
01/07/2015;SIG LN
01/07/2015;SIKA SW
01/07/2015;SK FP
01/07/2015;SKAB SS
01/07/2015;SKFB SS
01/07/2015;SKG ID
01/07/2015;SKY LN
01/07/2015;SLA LN
01/07/2015;SLHN SW
01/07/2015;SMDS LN
01/07/2015;SMIN LN
01/07/2015;SMWH LN
01/07/2015;SN/ LN
01/07/2015;SOBI SS
01/07/2015;SOLB BB
01/07/2015;SOON SW
01/07/2015;SPM IM
01/07/2015;SPR GY
01/07/2015;SPSN SE
01/07/2015;SPX LN
01/07/2015;SRCG SE
01/07/2015;SREN SW
01/07/2015;SRG IM
01/07/2015;SRP LN
01/07/2015;SSE LN
01/07/2015;STAN LN
01/07/2015;STERV FH
01/07/2015;STJ LN
01/07/2015;STM IM
01/07/2015;STMN SE
01/07/2015;SU FP
01/07/2015;SUBC NO
01/07/2015;SUN SE
01/07/2015;SVT LN
01/07/2015;SW FP
01/07/2015;SWEDA SS
01/07/2015;SWMA SS
01/07/2015;SXS LN
01/07/2015;SY1 GY
01/07/2015;SYDB DC
01/07/2015;SYNN SW
01/07/2015;TALK LN
01/07/2015;TATE LN
01/07/2015;TCG LN
01/07/2015;TCY LN
01/07/2015;TDC DC
01/07/2015;TEC FP
01/07/2015;TEF SQ
01/07/2015;TEL NO
01/07/2015;TEL2B SS
01/07/2015;TELIA SS
01/07/2015;TEN IM
01/07/2015;TEP FP
01/07/2015;TFI FP
01/07/2015;TGS NO
01/07/2015;TIT IM
01/07/2015;TKA GY
01/07/2015;TL5 SQ
01/07/2015;TLW LN
01/07/2015;TNET BB
01/07/2015;TNTE NA
01/07/2015;TOP DC
01/07/2015;TPK LN
01/07/2015;TRELB SS
01/07/2015;TRN IM
01/07/2015;TRYG DC
01/07/2015;TSCO LN
01/07/2015;TUI LN
01/07/2015;TW/ LN
01/07/2015;TYRES FH
01/07/2015;UBI IM
01/07/2015;UBM LN
01/07/2015;UBSG SW
01/07/2015;UCB BB
01/07/2015;UCG IM
01/07/2015;UG FP
01/07/2015;UHR SW
01/07/2015;UL NA
01/07/2015;ULE LN
01/07/2015;ULVR LN
01/07/2015;UMI BB
01/07/2015;UNAT NA
01/07/2015;UPM FH
01/07/2015;US IM
01/07/2015;UTDI GY
01/07/2015;UU/ LN
01/07/2015;VCT LN
01/07/2015;VIE FP
01/07/2015;VIFN SW
01/07/2015;VIS SQ
01/07/2015;VIV FP
01/07/2015;VK FP
01/07/2015;VNA GY
01/07/2015;VOD LN
01/07/2015;VOE AV
01/07/2015;VOLVB SS
01/07/2015;VOW3 GY
01/07/2015;VPK NA
01/07/2015;VWS DC
01/07/2015;WDI GY
01/07/2015;WEIR LN
01/07/2015;WG/ LN
01/07/2015;WHA NA
01/07/2015;WKL NA
01/07/2015;WMH LN
01/07/2015;WPP LN
01/07/2015;WRT1V FH
01/07/2015;WTB LN
01/07/2015;YAR NO
01/07/2015;ZC FP
01/07/2015;ZOT SQ
01/07/2015;ZURN SW
01/10/2015;1643322D NO
01/10/2015;1655637D LN
01/10/2015;AA/ LN
01/10/2015;AAL LN
01/10/2015;AALB NA
01/10/2015;ABBN SW
01/10/2015;ABE SQ
01/10/2015;ABF LN
01/10/2015;ABI BB
01/10/2015;AC FP
01/10/2015;ACA FP
01/10/2015;ACKB BB
01/10/2015;ACS SQ
01/10/2015;AD NA
01/10/2015;ADEN SW
01/10/2015;ADM LN
01/10/2015;ADN LN
01/10/2015;ADP FP
01/10/2015;ADS GY
01/10/2015;AENA SQ
01/10/2015;AF FP
01/10/2015;AGK LN
01/10/2015;AGN NA
01/10/2015;AGS BB
01/10/2015;AHT LN
01/10/2015;AI FP
01/10/2015;AIR FP
01/10/2015;AKE FP
01/10/2015;AKZA NA
01/10/2015;ALFA SS
01/10/2015;ALO FP
01/10/2015;ALU FP
01/10/2015;ALV GY
01/10/2015;AM FP
01/10/2015;AMEAS FH
01/10/2015;AMFW LN
01/10/2015;AMS SE
01/10/2015;AMS SQ
01/10/2015;ANDR AV
01/10/2015;ANTO LN
01/10/2015;ARL GY
01/10/2015;ARM LN
01/10/2015;ARYN SW
01/10/2015;ASHM LN
01/10/2015;ASM NA
01/10/2015;ASML NA
01/10/2015;ASSAB SS
01/10/2015;ATC NA
01/10/2015;ATCOA SS
01/10/2015;ATK LN
01/10/2015;ATL IM
01/10/2015;ATLN SW
01/10/2015;ATO FP
01/10/2015;AUTO LN
01/10/2015;AV/ LN
01/10/2015;AZM IM
01/10/2015;AZN LN
01/10/2015;BA/ LN
01/10/2015;BAB LN
01/10/2015;BAER SW
01/10/2015;BALN SW
01/10/2015;BARC LN
01/10/2015;BARN SE
01/10/2015;BAS GY
01/10/2015;BATS LN
01/10/2015;BAYN GY
01/10/2015;BB FP
01/10/2015;BBVA SQ
01/10/2015;BBY LN
01/10/2015;BCP PL
01/10/2015;BDEV LN
01/10/2015;BEI GY
01/10/2015;BET LN
01/10/2015;BEZ LN
01/10/2015;BG/ LN
01/10/2015;BHP LN
01/10/2015;BILL SS
01/10/2015;BION SE
01/10/2015;BIRG ID
01/10/2015;BKG LN
01/10/2015;BKIA SQ
01/10/2015;BKT SQ
01/10/2015;BLND LN
01/10/2015;BME LN
01/10/2015;BME SQ
01/10/2015;BMPS IM
01/10/2015;BMW GY
01/10/2015;BN FP
01/10/2015;BNP FP
01/10/2015;BNR GY
01/10/2015;BNZL LN
01/10/2015;BOK LN
01/10/2015;BOKA NA
01/10/2015;BOL FP
01/10/2015;BOL SS
01/10/2015;BOSS GY
01/10/2015;BP IM
01/10/2015;BP/ LN
01/10/2015;BPE IM
01/10/2015;BPOST BB
01/10/2015;BPSO IM
01/10/2015;BRBY LN
01/10/2015;BRSN LN
01/10/2015;BT/A LN
01/10/2015;BTG LN
01/10/2015;BVI FP
01/10/2015;BVIC LN
01/10/2015;BWY LN
01/10/2015;CA FP
01/10/2015;CABK SQ
01/10/2015;CAP FP
01/10/2015;CAPC LN
01/10/2015;CARLB DC
01/10/2015;CAST SS
01/10/2015;CBG LN
01/10/2015;CBK GY
01/10/2015;CCH LN
01/10/2015;CCL LN
01/10/2015;CDI FP
01/10/2015;CEC GY
01/10/2015;CEZ CK
01/10/2015;CFR SW
01/10/2015;CHR DC
01/10/2015;CLLN LN
01/10/2015;CLN SW
01/10/2015;CNA LN
01/10/2015;CNHI IM
01/10/2015;CNP FP
01/10/2015;CO FP
01/10/2015;COB LN
01/10/2015;COFB BB
01/10/2015;COLOB DC
01/10/2015;COLR BB
01/10/2015;CON GY
01/10/2015;COV FP
01/10/2015;CPG LN
01/10/2015;CPI LN
01/10/2015;CPR IM
01/10/2015;CRDA LN
01/10/2015;CRH ID
01/10/2015;CS FP
01/10/2015;CSGN SW
01/10/2015;CWC LN
01/10/2015;DAI GY
01/10/2015;DANSKE DC
01/10/2015;DB1 GY
01/10/2015;DBK GY
01/10/2015;DC/ LN
01/10/2015;DCC LN
01/10/2015;DEC FP
01/10/2015;DELB BB
01/10/2015;DEMANT DC
01/10/2015;DEQ GY
01/10/2015;DG FP
01/10/2015;DGE LN
01/10/2015;DIA SQ
01/10/2015;DKSH SE
01/10/2015;DL NA
01/10/2015;DLG GY
01/10/2015;DLG LN
01/10/2015;DLN LN
01/10/2015;DMGT LN
01/10/2015;DNB NO
01/10/2015;DOKA SE
01/10/2015;DPW GY
01/10/2015;DRX LN
01/10/2015;DSM NA
01/10/2015;DSV DC
01/10/2015;DSY FP
01/10/2015;DTE GY
01/10/2015;DUE GY
01/10/2015;DUFN SW
01/10/2015;DWNI GY
01/10/2015;EBS AV
01/10/2015;EDEN FP
01/10/2015;EDF FP
01/10/2015;EDP PL
01/10/2015;EGPW IM
01/10/2015;EKTAB SS
01/10/2015;EL FP
01/10/2015;ELE SQ
01/10/2015;ELISA FH
01/10/2015;ELM LN
01/10/2015;ELUXB SS
01/10/2015;EMG LN
01/10/2015;EMSN SE
01/10/2015;EN FP
01/10/2015;ENEL IM
01/10/2015;ENG SQ
01/10/2015;ENGI FP
01/10/2015;ENI IM
01/10/2015;EO FP
01/10/2015;EOAN GY
01/10/2015;EQNR NO
01/10/2015;ERF FP
01/10/2015;ERICB SS
01/10/2015;ESNT LN
01/10/2015;ETE GA
01/10/2015;ETL FP
01/10/2015;EVK GY
01/10/2015;EXO IM
01/10/2015;EXPN LN
01/10/2015;EZJ LN
01/10/2015;FCA IM
01/10/2015;FER SQ
01/10/2015;FERG LN
01/10/2015;FGP LN
01/10/2015;FGR FP
01/10/2015;FHZN SE
01/10/2015;FI-N SE
01/10/2015;FLS DC
01/10/2015;FLTR ID
01/10/2015;FME GY
01/10/2015;FNTN GY
01/10/2015;FORTUM FH
01/10/2015;FP FP
01/10/2015;FPE3 GY
01/10/2015;FR FP
01/10/2015;FRA GY
01/10/2015;FRAS LN
01/10/2015;FRE GY
01/10/2015;FRES LN
01/10/2015;G IM
01/10/2015;G1A GY
01/10/2015;GALP PL
01/10/2015;GAM SE
01/10/2015;GBF GY
01/10/2015;GBLB BB
01/10/2015;GEBN SW
01/10/2015;GET FP
01/10/2015;GETIB SS
01/10/2015;GFC FP
01/10/2015;GFS LN
01/10/2015;GFTU LN
01/10/2015;GIVN SW
01/10/2015;GJF NO
01/10/2015;GKN LN
01/10/2015;GLB ID
01/10/2015;GLE FP
01/10/2015;GLEN LN
01/10/2015;GMAB DC
01/10/2015;GN DC
01/10/2015;GNK LN
01/10/2015;GPOR LN
01/10/2015;GRF SQ
01/10/2015;GSK LN
01/10/2015;GTO NA
01/10/2015;GXI GY
01/10/2015;HAS LN
01/10/2015;HEI GY
01/10/2015;HEIA NA
01/10/2015;HEIO NA
01/10/2015;HELN SE
01/10/2015;HEN3 GY
01/10/2015;HEXAB SS
01/10/2015;HGG LN
01/10/2015;HIK LN
01/10/2015;HL/ LN
01/10/2015;HLMA LN
01/10/2015;HMB SS
01/10/2015;HMSO LN
01/10/2015;HNR1 GY
01/10/2015;HO FP
01/10/2015;HOME LN
01/10/2015;HPOLB SS
01/10/2015;HSBA LN
01/10/2015;HSX LN
01/10/2015;HTO GA
01/10/2015;HUH1V FH
01/10/2015;HUSQB SS
01/10/2015;HWDN LN
01/10/2015;IAG LN
01/10/2015;IAP LN
01/10/2015;IBE SQ
01/10/2015;ICA SS
01/10/2015;ICAD FP
01/10/2015;ICP LN
01/10/2015;IFX GY
01/10/2015;IGG LN
01/10/2015;IHG LN
01/10/2015;IIA AV
01/10/2015;III LN
01/10/2015;ILD FP
01/10/2015;IMB LN
01/10/2015;IMI LN
01/10/2015;INCH LN
01/10/2015;INDUA SS
